ID;VISITA;MES;FECHA;SATISFACCION_INFOR;SATISFACCION_RECORRIDO;SATISFACCION_GUIA;SATISFACCION_GLOBAL;LO_MEJOR;LO_PEOR;OPINION;SUGERENCIAS
12;LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD CON ILSE;DICIEMBRE;17/12/2023;10;10;10;10;7 chimeneas ;Nada;Mejor de lo que esperaba;Nada, todo perfecto 
19;MADRID EN FEMENINO;AGOSTO;12/08/2023;8;8;9;9;Al restaurante Sobrinos de Botín;El mapa final, hacia muchísimo sol;Mejor de lo que esperaba;Combinar mas las explicaciones de las mujeres con las explicaciones sobre la historia y tmb explicar las la conexión de las mujeres con los lugares que se visitan
3;MADRID EN FEMENINO;SEPTIEMBRE;02/09/2023;9;10;10;10;Amabilidad y conocimiento de la guía turística;;Mejor de lo que esperaba;Más visitas y en distintos horarios
19;LA LATINA Y EL MUSEO DE LOS ORIGENES;SEPTIEMBRE;16/09/2023;10;10;10;10;Beatriz Galindo latina ;Nada;Mejor de lo que esperaba;Me han gustado mucho 
35;LA LATINA Y EL MUSEO DE LOS ORIGENES;OCTUBRE;22/10/2023;7;8;8;8;Bien ;Bien ;Mejor de lo que esperaba;Bien 
20;MADRID MONUMENTAL;JULIO;28/07/2023;10;9;9;9;Calle Alcalá ;Nada ;Como esperaba;
15;LA HISTORIA IMPRESCINDIBLE DE MADRID;AGOSTO;11/08/2023;10;10;10;10;;;Como esperaba;Amplia nuevas visitas de historia de Madrid 
20;TRADICIONES NAVIDEÑAS;DICIEMBRE;30/12/2023;8;10;10;10;Descubrir  datos nuevos sobre las tradiciones;Nada;Mejor de lo que esperaba;Ninguna
19;MUJERES QUE HAN HECHO HISTORIA EN MADRID;OCTUBRE;13/10/2023;10;10;10;10;Destacar la labor del guía Cristian, haciendo de la actividad algo muy interesante y ameno con sus explicaciones y su trato para con nosotros. ;Nada;Mejor de lo que esperaba;Nos encantaría repetir con XXX en alguna otra visita interesante sobre la historia de Madrid 
3;MADRID HISTÓRICO;MARZO;03/03/2023;10;10;10;10;El conjunto está bien pensado y explicado;;Mejor de lo que esperaba;
9;LA HISTORIA IMPRESCINDIBLE DE MADRID;JULIO;14/07/2023;10;10;10;10;El cuidado en el trato;;Mejor de lo que esperaba;
2;MADRID HISTÓRICO;MARZO;03/03/2023;10;10;10;10;El entender la historia ;;Como esperaba;
6;MADRID EN FEMENINO;ABRIL;08/04/2023;10;5;4;4;El grupo;El guia;Peor de lo que esperaba;No
12;MADRID EN FEMENINO;JUNIO;17/06/2023;9;10;10;10;El guia;;Mejor de lo que esperaba;
22;LA HISTORIA IMPRESCINDIBLE DE MADRID;OCTUBRE;14/10/2023;9;9;9;9;El guía muy ameno y agradable ;Nada;Mejor de lo que esperaba;Realizar más visitas de los distintos barrios  y visitar los edificios más emblemáticos a lo largo de todo el año
23;MADRID MONUMENTAL;JULIO;28/07/2023;10;10;10;10;;Edificios históricos ;Como esperaba;
26;LA HISTORIA IMPRESCINDIBLE DE MADRID;OCTUBRE;14/10/2023;10;9;10;10;El guía, muy buena explicación ;Nada ;Mejor de lo que esperaba;Ninguna 
25;LA HISTORIA IMPRESCINDIBLE DE MADRID;OCTUBRE;14/10/2023;10;10;10;10;El guia. Excelente.;Todo bien;Como esperaba;Incluir alguna visita
5;MADRID HISTÓRICO;FEBRERO;10/02/2023;10;10;10;10;;;Como esperaba;
13;MADRID EN FEMENINO;JULIO;15/07/2023;10;8;7;8;El horario;Me resultó breve las explicaciones ;Como esperaba;
